"","Location","Store_Type","Product_Variety","Traffic","Store_Size","Staff_Efficiency","Store_Age","Competitor_Distance","Monthly_Promotions","Economic_Indicator","Marketing_Expense","Monthly_Sales","Location","Cost_Per_Customer","Sales_Per_Customer","x","x"
"1","Los Angeles","Electronics",581,1723,186,84.9,1,12,6,108.3,29000,284900,"Los Angeles",16.8311085316309,165.351131746953,1,1
"2","Los Angeles","Electronics",382,1218,427,75.8,18,11,6,97.8,31000,308210,"Los Angeles",25.4515599343186,253.045977011494,2,2
"3","Los Angeles","Grocery",449,2654,142,92.8,14,11,6,101.1,35000,292110,"Los Angeles",13.1876412961567,110.064054257724,3,3
"4","Sacramento","Clothing",666,2591,159,66.3,11,11,4,115.1,9000,279610,"Sacramento",3.47356233114628,107.915862601312,4,4
"5","Palo Alto","Electronics",657,2151,275,89.1,28,12,7,93.4,35000,359710,"Palo Alto",16.2715016271502,167.22919572292,5,5
"6","Palo Alto","Electronics",182,1789,312,88.8,13,8,8,70.4,43000,258210,"Palo Alto",24.035774175517,144.332029066518,6,6
"7","San Francisco","Electronics",341,1868,400,65.2,8,12,6,99.3,29000,240300,"San Francisco",15.524625267666,128.640256959315,7,7
"8","Palo Alto","Clothing",500,786,112,54.6,3,12,6,96.4,32000,250280,"Palo Alto",40.7124681933842,318.422391857506,8,8
"9","Palo Alto","Electronics",656,1352,108,51.4,16,15,6,82.5,30000,249410,"Palo Alto",22.189349112426,184.474852071006,9,9
"10","Palo Alto","Electronics",419,1949,90,93.1,16,5,8,110.3,48000,203930,"Palo Alto",24.6280143663417,104.633145202668,10,10
"11","Los Angeles","Clothing",851,1501,223,53.6,18,9,4,99.5,10000,393320,"Los Angeles",6.66222518321119,262.038640906063,11,11
"12","Palo Alto","Grocery",458,1673,324,63.5,28,7,5,114.6,26000,266490,"Palo Alto",15.5409444112373,159.28870292887,12,12
"13","San Francisco","Grocery",432,1901,286,50.1,13,7,5,76.6,18000,283630,"San Francisco",9.4687006838506,149.200420831142,13,13
"14","Sacramento","Electronics",555,2528,333,68.6,6,8,7,101.4,40000,303410,"Sacramento",15.8227848101266,120.019778481013,14,14
"15","San Francisco","Clothing",587,1797,268,53.7,28,10,7,109.3,37000,274640,"San Francisco",20.5898720089037,152.832498608792,15,15
"16","Los Angeles","Grocery",637,1345,112,86.8,9,10,7,94.2,46000,263240,"Los Angeles",34.2007434944238,195.717472118959,16,16
"17","San Francisco","Clothing",510,1556,284,67.5,12,6,5,119,17000,297060,"San Francisco",10.9254498714653,190.912596401028,17,17
"18","Los Angeles","Clothing",586,2249,397,62.8,28,8,7,88.5,41000,313590,"Los Angeles",18.2303245887061,139.435304579813,18,18
"19","Los Angeles","Grocery",834,1403,340,68.2,24,11,7,77.5,44000,405820,"Los Angeles",31.3613684960798,289.251603706344,19,19
"20","San Francisco","Clothing",353,1624,416,88.2,9,10,5,102.9,16000,281780,"San Francisco",9.85221674876847,173.509852216749,20,20
"21","Palo Alto","Grocery",253,2458,224,83.4,21,8,4,101.5,18000,229940,"Palo Alto",7.32302685109845,93.5475996745321,21,21
"22","Los Angeles","Grocery",507,2927,282,75.8,23,14,3,112.8,9000,320170,"Los Angeles",3.07482063546293,109.385035872907,22,22
"23","Palo Alto","Clothing",517,2599,62,69.6,12,17,4,109.5,16000,211230,"Palo Alto",6.15621392843401,81.2735667564448,23,23
"24","Palo Alto","Grocery",458,2382,490,56.2,10,3,6,74.4,32000,365120,"Palo Alto",13.4340890008396,153.28295549958,24,24
"25","Palo Alto","Grocery",250,1736,57,90.7,9,9,3,93.4,12000,203920,"Palo Alto",6.91244239631336,117.465437788018,25,25
"26","Palo Alto","Grocery",458,2021,182,59.9,4,6,3,97.7,6000,211580,"Palo Alto",2.96882731321128,104.690747154874,26,26
"27","Sacramento","Grocery",458,2189,336,58.1,22,10,7,109.7,42000,288350,"Sacramento",19.1868433074463,131.72681589767,27,27
"28","Los Angeles","Clothing",587,1966,422,51.9,16,16,5,72.9,27000,377970,"Los Angeles",13.7334689725331,192.253306205493,28,28
"29","Palo Alto","Electronics",521,1994,76,55.9,25,10,7,109.5,39000,289660,"Palo Alto",19.5586760280843,145.265797392177,29,29
"30","San Francisco","Grocery",360,1819,145,67.1,4,13,8,111.9,44000,197750,"San Francisco",24.1891148982958,108.7135788895,30,30
"31","Palo Alto","Electronics",345,2266,223,69.7,21,12,5,98.4,17000,270360,"Palo Alto",7.50220653133275,119.311562224184,31,31
