"","Location","Store_Type","Product_Variety","Traffic","Store_Size","Staff_Efficiency","Store_Age","Competitor_Distance","Monthly_Promotions","Economic_Indicator","Marketing_Expense","Monthly_Sales"
"1","Los Angeles","Electronics",581,1723,186,84.9,1,12,6,108.3,29000,284900
"2","Los Angeles","Electronics",382,1218,427,75.8,18,11,6,97.8,31000,308210
"3","Los Angeles","Grocery",449,2654,142,92.8,14,11,6,101.1,35000,292110
"4","Sacramento","Clothing",666,2591,159,66.3,11,11,4,115.1,9000,279610
"5","Palo Alto","Electronics",657,2151,275,89.1,28,12,7,93.4,35000,359710
"6","Palo Alto","Electronics",182,1789,312,88.8,13,8,8,70.4,43000,258210
"7","San Francisco","Electronics",341,1868,400,65.2,8,12,6,99.3,29000,240300
"8","Palo Alto","Clothing",500,786,112,54.6,3,12,6,96.4,32000,250280
"9","Palo Alto","Electronics",656,1352,108,51.4,16,15,6,82.5,30000,249410
"10","Palo Alto","Electronics",419,1949,90,93.1,16,5,8,110.3,48000,203930
"11","Los Angeles","Clothing",851,1501,223,53.6,18,9,4,99.5,10000,393320
"12","Palo Alto","Grocery",458,1673,324,63.5,28,7,5,114.6,26000,266490
"13","San Francisco","Grocery",432,1901,286,50.1,13,7,5,76.6,18000,283630
"14","Sacramento","Electronics",555,2528,333,68.6,6,8,7,101.4,40000,303410
"15","San Francisco","Clothing",587,1797,268,53.7,28,10,7,109.3,37000,274640
"16","Los Angeles","Grocery",637,1345,112,86.8,9,10,7,94.2,46000,263240
"17","San Francisco","Clothing",510,1556,284,67.5,12,6,5,119,17000,297060
"18","Los Angeles","Clothing",586,2249,397,62.8,28,8,7,88.5,41000,313590
"19","Los Angeles","Grocery",834,1403,340,68.2,24,11,7,77.5,44000,405820
"20","San Francisco","Clothing",353,1624,416,88.2,9,10,5,102.9,16000,281780
"21","Palo Alto","Grocery",253,2458,224,83.4,21,8,4,101.5,18000,229940
"22","Los Angeles","Grocery",507,2927,282,75.8,23,14,3,112.8,9000,320170
"23","Palo Alto","Clothing",517,2599,62,69.6,12,17,4,109.5,16000,211230
"24","Palo Alto","Grocery",458,2382,490,56.2,10,3,6,74.4,32000,365120
"25","Palo Alto","Grocery",250,1736,57,90.7,9,9,3,93.4,12000,203920
"26","Palo Alto","Grocery",458,2021,182,59.9,4,6,3,97.7,6000,211580
"27","Sacramento","Grocery",458,2189,336,58.1,22,10,7,109.7,42000,288350
"28","Los Angeles","Clothing",587,1966,422,51.9,16,16,5,72.9,27000,377970
"29","Palo Alto","Electronics",521,1994,76,55.9,25,10,7,109.5,39000,289660
"30","San Francisco","Grocery",360,1819,145,67.1,4,13,8,111.9,44000,197750
"31","Palo Alto","Electronics",345,2266,223,69.7,21,12,5,98.4,17000,270360
"32","Sacramento","Electronics",344,1755,210,75.1,27,9,7,101.9,47000,241870
"33","Palo Alto","Electronics",331,2893,110,82.1,27,7,4,87.3,7000,203150
"34","Los Angeles","Electronics",383,1770,368,94.9,8,13,4,60,7000,349080
"35","Los Angeles","Clothing",356,2590,368,56.8,23,6,4,73.9,8000,233120
"36","Sacramento","Grocery",395,2513,136,94.2,3,10,7,70.9,45000,272260
